Waterbody Name,Waterbody ID Code (WBIC),Invasive Species
Unnamed,119500,Rusty Crayfish
Unnamed,119600,Rusty Crayfish
Unnamed,119700,Rusty Crayfish
Unnamed,120200,Rusty Crayfish
Unnamed,120400,Rusty Crayfish
Unnamed,120500,Rusty Crayfish
Unnamed,120600,Rusty Crayfish
Unnamed,120900,Rusty Crayfish
Unnamed,121000,Rusty Crayfish
Unnamed,121200,Rusty Crayfish
Unnamed,121300,Rusty Crayfish
Unnamed,121500,Rusty Crayfish
Unnamed,124300,Round Goby
Unnamed,124600,Round Goby
Unnamed,124700,Round Goby
Unnamed,124800,Round Goby
Unnamed,409800,"Chinese Mystery Snail, Curly-Leaf Pondweed, Phragmites (non-native), Purple Loosestrife, Yellow Iris"
Unnamed,410000,"Round Goby, Rusty Crayfish"
Unnamed,410050,"Japanese knotweed (Fallopia japonica), Purple Loosestrife"
Unnamed,410300,Rusty Crayfish
Unnamed,3000111,Rusty Crayfish
Unnamed,3000132,Rusty Crayfish
Unnamed,3000550,Purple Loosestrife
Unnamed,3000554,Purple Loosestrife
Unnamed,3000555,European Frogbit
Unnamed,3000577,Rusty Crayfish
Unnamed,5015112,Purple Loosestrife
Unnamed,5016583,"Chinese Mystery Snail, Curly-Leaf Pondweed, Phragmites (non-native), Purple Loosestrife"
Unnamed,5016644,Rusty Crayfish
Unnamed,5016701,Rusty Crayfish
Unnamed,5016781,"Purple Loosestrife, Rusty Crayfish"
Unnamed,5017022,Round Goby
Unnamed,5017081,Rusty Crayfish
Unnamed,5017103,Rusty Crayfish
Unnamed,5017147,Rusty Crayfish
Unnamed,5017171,Rusty Crayfish
Unnamed,5017430,Eurasian Water-Milfoil
Unnamed,5017728,Rusty Crayfish
Unnamed,5019110,Rusty Crayfish
Unnamed,5019146,Rusty Crayfish
Unnamed,5019379,Rusty Crayfish
Unnamed,5019414,Rusty Crayfish
Unnamed,5019439,Rusty Crayfish
Unnamed,5019577,Rusty Crayfish
Unnamed,5019619,Rusty Crayfish
Unnamed,5019649,Rusty Crayfish
Unnamed,5019681,Rusty Crayfish
Unnamed,5019750,Rusty Crayfish
Unnamed,5019979,Rusty Crayfish
Unnamed,5020092,Rusty Crayfish
Unnamed,5020111,Rusty Crayfish
Unnamed,5020146,Rusty Crayfish
Unnamed,5020247,Rusty Crayfish
Unnamed,5020250,Rusty Crayfish
Unnamed,5020413,Rusty Crayfish
Unnamed,5020419,Round Goby
Unnamed,5020425,Rusty Crayfish
Unnamed,5020564,Rusty Crayfish
Unnamed,5020594,Round Goby
Unnamed,5020617,Rusty Crayfish
Unnamed,5020686,Rusty Crayfish
Unnamed,5020690,Rusty Crayfish
Unnamed,5020719,Rusty Crayfish
Unnamed,5020723,Rusty Crayfish
Unnamed,5020744,Round Goby
Unnamed,5020809,Rusty Crayfish
Unnamed,5020912,Rusty Crayfish
Unnamed,5020928,Rusty Crayfish
Unnamed,5021003,Rusty Crayfish
Unnamed,5021032,Rusty Crayfish
Unnamed,5021034,Rusty Crayfish
Unnamed,5021041,Rusty Crayfish
Unnamed,5021133,Rusty Crayfish
Unnamed,5021188,Rusty Crayfish
Unnamed,5021240,Rusty Crayfish
Unnamed,5021280,Rusty Crayfish
Unnamed,5021334,Rusty Crayfish
Unnamed,5021437,Rusty Crayfish
Unnamed,5021497,Rusty Crayfish
Unnamed,5021759,Rusty Crayfish
Unnamed,5021813,Rusty Crayfish
Unnamed,5545707,Eurasian Water-Milfoil
Unnamed,5546506,Phragmites (non-native)
Unnamed,5546591,Phragmites (non-native)
Unnamed,5549248,Rusty Crayfish
Unnamed,5591395,Hybrid Eurasian / Northern Water-Milfoil
West Branch Suamico River,411600,Rusty Crayfish
Buffalo County (14),,
Buffalo River,1813900,"Purple Loosestrife, Rusty Crayfish"
Chippewa River,2050000,"Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish"
Indian Slough,730800,Daphnia lumholtzii 
Lake Pepin,731800,Zebra Mussel
Mirror Lake,1820900,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Mississippi River ,721000,"Eurasian Water-Milfoil, Purple Loosestrife, Zebra Mussel"
Peeso Creek,1820700,Curly-Leaf Pondweed
Unnamed,1813600,Phragmites (non-native)
Unnamed,1813800,Phragmites (non-native)
Unnamed,2120600,"Eurasian Water-Milfoil, Rusty Crayfish"
Unnamed,5555168,Purple Loosestrife
Unnamed,5556615,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Zebra Mussel"
Unnamed,5585084,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Zebra Mussel"
Unnamed,5589773,"Chinese Mystery Snail, Curly-Leaf Pondweed, Zebra Mussel"
Burnett County (101),,
Bashaw Lake,2662400,"Curly-Leaf Pondweed, Purple Loosestrife"
Bass Lake,2451200,"Chinese Mystery Snail, Purple Loosestrife"
Benach Lake,2450100,Chinese Mystery Snail
Benoit Lake,2678300,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife"
Big Bear Lake,2705700,Yellow Iris
Big Doctor Lake,2453400,Curly-Leaf Pondweed
Big Sand Lake,2676800,"Chinese Mystery Snail, Purple Loosestrife"
Big Trade Lake,2638700,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife"
Birch Island Lake,2453500,"Chinese Mystery Snail, Purple Loosestrife"
Burlingame Lake,2671400,Curly-Leaf Pondweed
Clam Lake,2656200,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife"
Clam River,2654200,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Rusty Crayfish"
Clam River Flowage,2654500,"Curly-Leaf Pondweed, Purple Loosestrife"
Clear Lake,2457600,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Conners Lake,2458300,Purple Loosestrife
Crooked Lake,2459100,"Chinese Mystery Snail, Yellow Iris"
Danbury Flowage,2674500,"Chinese Mystery Snail, Curly-Leaf Pondweed, Rusty Crayfish"
Daniels Flowage,2638000,Purple Loosestrife
Deer Lake,2460700,Chinese Mystery Snail
Des Moines Lake,2674200,"Banded Mystery Snail, Chinese Mystery Snail, Purple Loosestrife"
Devils Lake,2461100,"Chinese Mystery Snail, Yellow Iris"
Dueholm Flowage,2637200,"Curly-Leaf Pondweed, Purple Loosestrife"
Dunham Lake,2651800,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Eagle Lake,2672100,Chinese Mystery Snail
Falk Lake,2670900,"Chinese Mystery Snail, Curly-Leaf Pondweed, Ornamental water lilies (non-native Nymphaea sp.), Purple Loosestrife"
Fish Lake,2464500,Banded Mystery Snail
Gabrielson Lake,2639200,Chinese Mystery Snail
Gaslyn Lake,2677700,"Chinese Mystery Snail, Purple Loosestrife"
Goose Lake,2466500,Purple Loosestrife
Green Lake,2467200,Chinese Mystery Snail
Grettum Flowage,2637800,Purple Loosestrife
Gull Lake,2671100,Chinese Mystery Snail
Ham Lake,2467700,Eurasian Water-Milfoil
Hanscom Lake,2674000,Purple Loosestrife
Holmes Lake,2638400,"Curly-Leaf Pondweed, Purple Loosestrife"
Kent Creek,2656700,Curly-Leaf Pondweed
Lily Lake,2475300,Chinese Mystery Snail
Lind Lake,2475400,Chinese Mystery Snail
Lipsett Lake,2678100,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Little Holmes Lake,2638200,Curly-Leaf Pondweed
Little McGraw Lake,2477000,Chinese Mystery Snail
Little Trade Lake,2639300,"Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Little Wood Lake,2650900,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Little Yellow Lake,2674800,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Rusty Crayfish"
Logging Creek,2636800,Curly-Leaf Pondweed
Long Lake,2656400,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Long Lake,2674100,"Banded Mystery Snail, Chinese Mystery Snail, Purple Loosestrife"
Loon Creek,2670400,"Banded Mystery Snail, Curly-Leaf Pondweed, Ornamental water lilies (non-native Nymphaea sp.)"
Loon Lake ,2673500,Banded Mystery Snail
Lower Clam Lake,2655300,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Rusty Crayfish"
Lower McKenzie Lake,2706300,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Mallard Lake,2480800,"Banded Mystery Snail, Chinese Mystery Snail, Purple Loosestrife"
McGraw Lake,2688800,Yellow Iris
McKenzie Creek,2706200,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Zebra Mussel"
McKenzie Lake,2706800,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Zebra Mussel"
Memory Lake,2646500,"Curly-Leaf Pondweed, Purple Loosestrife"
Middle McKenzie Lake,2706500,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Zebra Mussel"
Minerva Lake,2670600,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Mud Hen Lake,2649500,"Chinese Mystery Snail, Curly-Leaf Pondweed, Phragmites (non-native), Purple Loosestrife"
Mud Lake,2484400,Purple Loosestrife
Nicaboyne Lake,2486100,Curly-Leaf Pondweed
No Mans Lake,2486300,Chinese Mystery Snail
North Fork Clam River,2656600,Curly-Leaf Pondweed
